id;estimation;product_count;start_date;end_date;fact;order_number;drawing_number;drawing;drawing_content_type;worknumber;priority
1;64690;52826;2020-12-14;2020-12-14;95887;Fresh Communications;exuding;../fake-data/blob/hipster.png;image/png;Metal Burgs Investor;46591
2;16948;15212;2020-12-14;2020-12-13;4706;Licensed copying Beauty;pink applications;../fake-data/blob/hipster.png;image/png;Plastic Down-sized ADP;24658
3;9938;8950;2020-12-14;2020-12-14;49758;online contingency Borders;synthesize Keyboard;../fake-data/blob/hipster.png;image/png;Tanzania;50198
4;96288;74207;2020-12-14;2020-12-13;92773;Handcrafted application;services;../fake-data/blob/hipster.png;image/png;Integration structure Intelligent;92950
5;50976;98746;2020-12-13;2020-12-13;38368;content-based;violet Balboa;../fake-data/blob/hipster.png;image/png;e-services violet;57310
6;22187;3921;2020-12-14;2020-12-14;61614;synthesizing New;Togo;../fake-data/blob/hipster.png;image/png;Cyprus;29471
7;70293;97334;2020-12-13;2020-12-14;89109;fuchsia feed Sri;Steel B2C CSS;../fake-data/blob/hipster.png;image/png;Extension;24066
8;15728;18576;2020-12-13;2020-12-14;93871;deposit white;e-markets;../fake-data/blob/hipster.png;image/png;up synthesize;3633
9;96978;86533;2020-12-14;2020-12-14;41113;Internal magenta;recontextualize;../fake-data/blob/hipster.png;image/png;up attitude bricks-and-clicks;60773
10;69006;9526;2020-12-13;2020-12-13;26602;monetize ivory;Kuna Tunisian extensible;../fake-data/blob/hipster.png;image/png;attitude Loan;46737
