id;name;drawing_number;item_number;weight;comment;drawing;drawing_content_type
1;Steel;Assistant;cross-platform Principal;35091;wireless Handmade;../fake-data/blob/hipster.png;image/png
2;Dynamic Pound withdrawal;deposit Centers Metal;models partnerships Infrastructure;91058;compressing withdrawal green;../fake-data/blob/hipster.png;image/png
3;Bedfordshire Lao neutral;Bike;Computer CFP orange;9548;Data distributed;../fake-data/blob/hipster.png;image/png
4;auxiliary;COM Implementation Awesome;homogeneous Crossroad;86573;Liaison;../fake-data/blob/hipster.png;image/png
5;Shoes;Ball pixel;Account;68319;cross-platform;../fake-data/blob/hipster.png;image/png
6;South Forward open-source;Fantastic;Buckinghamshire;8835;AGP lavender;../fake-data/blob/hipster.png;image/png
7;navigate brand up;systems Gorgeous;Brand;64809;full-range;../fake-data/blob/hipster.png;image/png
8;back-end National Operations;Games;Account transmit Incredible;88593;Global Industrial Concrete;../fake-data/blob/hipster.png;image/png
9;Pants bypassing Chief;Tuvalu;Square Checking Coordinator;17748;capacity Administrator CFA;../fake-data/blob/hipster.png;image/png
10;Colombian B2C;bypassing Gateway Virtual;index Account Concrete;32973;transmit;../fake-data/blob/hipster.png;image/png
